,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,0,Location,Address,Link,Website Location,Page
200,3 4 5 - 7 - T A M A N   D A N A U   D E S A   -   F A S A   1 C,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-7,",SIAP DENGAN: CFO PENUH,-,-,-,"RM83,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-7,12,4
201,3 4 5 - 8 - D A N A U   I M P I A N,FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-8,",SIAP DENGAN: CFO PENUH,345/888/1985(12),22-Dec-84,21-Dec-85,"RM322,800.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-8,12,5
202,3 4 5 - 9 - T A M A N   D A N A U   D E S A   (   D A N A U   I D A M A N   ),FABER UNION SENDIRIAN BERHAD,345,345-21/07-2019/02222(L),3-Jul-18,2-Jul-19,-,-,-,"345-9,",SIAP DENGAN: CFO PENUH,345/1199/2002(06),27-Jun-01,26-Jun-02,"RM98,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/345-9,12,6
203,3 6 2 - 1 - T A M A N   J O H O R   J A Y A   V I L A   P E S O N A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-1,",PERMIT TELAH DIBATALKAN,362-1/2424/2006(10),1-Nov-05,31-Oct-06,"RM1,310,973.00",0mps,,,,,,,,,,,,"[""1.535288, 103.797729""]",,https://teduh.kpkt.gov.my/project-swasta/362-1,12,7
204,3 6 2 - 1 0 - T A M A N   D A I M A N   J A Y A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-10,",SIAP DENGAN: CCC PENUH,362-10/03-2020/0293(P),22-Mar-18,21-Mar-20,"RM42,000.00",0mps,,,,,,,,,,,,"[""1.711166, 103.894855""]",,https://teduh.kpkt.gov.my/project-swasta/362-10,12,8
205,3 6 2 - 1 1 - T A M A N   D A I M A N   J A Y A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-11,",SIAP DENGAN: CCC PENUH,362-11/09-2021/03265(P),29-Sep-20,28-Sep-21,"RM718,800.00",222mps - 229mps,,,,,,,,,,,,"[""1.713144, 103.894111""]",,https://teduh.kpkt.gov.my/project-swasta/362-11,12,9
206,3 6 2 - 1 2 - T A M A N   D A I M A N   J A Y A   P R E S I N T   4 B 3,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-12,",BERJALAN LANCAR,362-12/03-2025/0276(N)-(L),16-Mar-23,15-Mar-25,"RM818,800.00",222mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/362-12,12,10
207,3 6 2 - 2 - T A M A N   S E N A I   U T A M A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-2,",PERMIT TELAH DIBATALKAN,362/998/1998(08),4-Aug-97,3-Aug-98,"RM80,000.00",0mps,,,,,,,,,,,,"[""1.608721, 103.645922""]",,https://teduh.kpkt.gov.my/project-swasta/362-2,12,11
208,3 6 2 - 3 - V I L A   B I N T A N G   I N D A H,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-3,",SIAP DENGAN: CFO PENUH,362-3/819/2008(04),17-Apr-07,16-Apr-08,"RM1,550,854.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/362-3,12,12
209,3 6 2 - 4 - T A M A N   D A I M A N   J A Y A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-4,",SIAP DENGAN: CCC PENUH,362-4/01-2017/0820(P),10-Jan-16,9-Jan-17,"RM125,000.00","0mps - 2,212mps",,,,,,,,,,,,"[""1.715116, 103.888518""]",,https://teduh.kpkt.gov.my/project-swasta/362-4,12,13
210,"3 6 2 - 5 - T A M A N   D A I M A N   J A Y A   Z O N E   3 A ,   4 A   &   5",DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-5,",SIAP DENGAN: CCC PENUH,362-5/04-2015/01484(P),4-Apr-14,3-Apr-15,"RM148,000.00",0mps,,,,,,,,,,,,"[""1.716360, 103.892370""]",,https://teduh.kpkt.gov.my/project-swasta/362-5,12,14
211,3 6 2 - 6 - T A M A N   D A I M A N   J A Y A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-6,",SIAP DENGAN: CCC PENUH,362-6/09-2018/02444(P),27-Sep-17,26-Sep-18,"RM579,800.00",222mps - 289mps,,,,,,,,,,,,"[""1.713239, 103.893893""]",,https://teduh.kpkt.gov.my/project-swasta/362-6,12,15
212,3 6 2 - 7 - T A M A N   D A I M A N   J A Y A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-7,",SIAP DENGAN: CCC PENUH,362-7/05-2018/0365(P),25-May-16,24-May-18,"RM388,800.00",157mps,,,,,,,,,,,,"[""1.712715, 103.894606""]",,https://teduh.kpkt.gov.my/project-swasta/362-7,12,16
213,3 6 2 - 8 - T A M A N   J O H O R   J A Y A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-8,",SIAP DENGAN: CCC PENUH,362-8/03-2019/0157(P),2-Mar-17,1-Mar-19,"RM438,800.00",157mps,,,,,,,,,,,,"[""1.712695, 103.894077""]",,https://teduh.kpkt.gov.my/project-swasta/362-8,12,17
214,3 6 2 - 9 - T A M A N   D A I M A N   J A Y A,DAIMAN DEVELOPMENT BHD.,362,362/10-2027/1460(A),1-Nov-22,31-Oct-27,72255888,daiman@daiman.com.my,daiman.com.my,"362-9,",SIAP DENGAN: CCC PENUH,362-9/03-2020/0271(P),16-Mar-18,15-Mar-20,"RM568,800.00",205mps - 212mps,,,,,,,,,,,,"[""1.713863, 103.889961""]",,https://teduh.kpkt.gov.my/project-swasta/362-9,12,18
215,3 7 - 1 - B A N D A R   B A R U   S E R I   P E T A L I N G,PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-1,",SIAP DENGAN: CFO PENUH,37-1/959/2009(05),20-May-08,19-May-09,"RM350,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/37-1,12,19
216,3 7 - 2 - T A M A N   I N D A H   K E L A N G,PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-2,",-,37/436/1985(07),16-Jul-84,15-Jul-85,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/37-2,13,2
217,3 7 - 3 - P G B   P L A Z A   -   C I T Y   A P A R T M E N T,PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-3,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/37-3,13,3
218,3 7 - 4 - B A N D A R   B A R U   S E R I   P E T A L I N G   -   Z O N E   K,PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-4,",SIAP DENGAN: CCC PENUH,37-4/10-2014/0536(P),27-Oct-13,26-Oct-14,"RM621,888.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/37-4,13,4
219,3 7 - 5 - B A N D A R   B A R U   S E R I   P E T A L I N G   F A S A   Z O N E   P 3 ( R E S I D E N S I   R I M B U N A N ),PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-5,",SIAP DENGAN: CCC PENUH,37-5/04-2021/01682(P),7-Apr-20,6-Apr-21,"RM297,888.00",77mps,,,,,,,,,,,,"[""3.065554, 101.683213""]",,https://teduh.kpkt.gov.my/project-swasta/37-5,13,5
220,3 7 - 6 - S E T I A   W A R I S A N   T R O P I K A,PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-6,",SIAP DENGAN: CCC PENUH,37-6/10-2023/0507(R)-(S),16-Oct-22,15-Oct-23,"RM656,000.00",0mps - 170mps,,,,,,,,,,,,"[""2.817292, 101.707997""]",,https://teduh.kpkt.gov.my/project-swasta/37-6,13,6
221,3 7 - 7 - S E T I A   W A R I S A N   T R O P I K A,PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-7,",BERJALAN LANCAR,37-7/12-2024/1629(R)-(S),6-Dec-23,5-Dec-24,"RM768,240.00",0mps - 205mps,,,,,,,,,,,,"[""2.813939, 101.707383""]",,https://teduh.kpkt.gov.my/project-swasta/37-7,13,7
222,3 7 - 8 - S E T I A   W A R I S A N   T R O P I K A   ( P H A S E   3 A ),PETALING GARDEN SDN. BHD.,37,37/12-2027/1387(A),6-Dec-22,5-Dec-27,387062552,valli.m@spsetia.com,https://spsetia.com/en-us/property/malaysia-(central)/sepang/setia-warisan-tropika/home,"37-8,",BERJALAN LANCAR,37-8/02-2026/0187(N)-(S),23-Feb-23,22-Feb-26,"RM976,250.00",0mps,,,,,,,,,,,,"[""2.815509, 101.710784""]",,https://teduh.kpkt.gov.my/project-swasta/37-8,13,8
223,4 3 9 - 1 - T A M A N   P E N I N S U L A R   J A Y A,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-1,",-,439/442/1993(04),22-Apr-92,21-Apr-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-1,13,9
224,4 3 9 - 1 0 - T A M A N   A M A N,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-10,",-,439/992/1994(09),14-Sep-93,13-Sep-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-10,13,10
225,4 3 9 - 1 1 - X X X,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-11,",-,439/1331/1997(11),14-Nov-96,13-Nov-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-11,13,11
226,4 3 9 - 1 2 - T A M A N   F A I R M O U N T,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-12,",-,439/1724/2001(10),6-Oct-00,5-Oct-01,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-12,13,12
227,4 3 9 - 1 3 - T A M A N   B A N D A R,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-13,",-,439/1288/1997(11),6-Nov-96,5-Nov-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-13,13,13
228,4 3 9 - 1 4 - T A M A N   A I R   P U T I H,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-14,",-,439/1590/1998(11),26-Nov-97,25-Nov-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-14,13,14
229,4 3 9 - 1 5 - T A M A N   B A N D A R   I I,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-15,",-,439/484/2002(03),27-Mar-01,26-Mar-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-15,13,15
230,4 3 9 - 1 6 - T A M A N   F A I R M O N T   F A S A   I I,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-16,",-,439/548/2000(04),24-Apr-99,23-Apr-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-16,13,16
231,4 3 9 - 1 7 - T A M A N   S E K I L A U,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-17,",-,439/1917/2002(10),9-Oct-01,8-Oct-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-17,13,17
232,4 3 9 - 1 8 - T A M A N   B A N D A R   3,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-18,",-,439-18/929/2004(05),16-May-03,15-May-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-18,13,18
233,4 3 9 - 1 9 - T A M A N     M E L A W A R     1 1,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-19,",PERMIT TELAH DIBATALKAN,-,-,-,"RM35,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-19,13,19
234,4 3 9 - 2 - T A M A N   G E M B I R A,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-2,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-2,14,2
235,4 3 9 - 2 0 - T A M A N   T I M O R,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-20,",SIAP DENGAN: CFO PENUH,439-20/2109/2008(01),27-Sep-07,9-Jan-08,"RM98,800.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-20,14,3
236,4 3 9 - 2 1 - T A M A N   T I M U R   P E R M A I,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-21,",SIAP DENGAN: CCC PENUH,439-21/1041/2012(06),26-Jun-11,25-Jun-12,"RM138,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-21,14,4
237,4 3 9 - 2 2 - T A M A N   P E R M A T A N G   B A D A K   M A J U,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-22,",SIAP DENGAN: CCC PENUH,439-22/2136/2012(06),17-Oct-11,17-Jun-12,"RM139,770.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-22,14,5
238,4 3 9 - 2 3 - T A M A N   B U K I T   K U A N G   P E R M A I,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-23,",PERMIT TELAH DIBATALKAN,439-23/06-2018/01593(P),15-Jun-17,14-Jun-18,"RM378,000.00",0mps,,,,,,,,,,,,"[""4.287256, 103.462738""]",,https://teduh.kpkt.gov.my/project-swasta/439-23,14,6
239,4 3 9 - 2 4 - S H A R I K A T   P E R U M A H A N   P A C I F I C   S D N   B H D,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-24,",SIAP DENGAN: CCC PENUH,439-24/10-2024/0015(R)-(L),13-Oct-18,12-Oct-24,"RM223,200.00","121mps - 1,300mps",,,,,,,,,,,,"[""3.762546, 103.214264""]",,https://teduh.kpkt.gov.my/project-swasta/439-24,14,7
240,4 3 9 - 2 5 - S H A R I K A T   P E R U M A H A N   P A C I F I C   S D N   B H D,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-25,",PERMIT TELAH DIBATALKAN,439-25/07-2018/01938(P),24-Jul-17,23-Jul-18,"RM450,880.00",0mps,,,,,,,,,,,,"[""3.472925, 101.971477""]",,https://teduh.kpkt.gov.my/project-swasta/439-25,14,8
241,4 3 9 - 2 6 - T A M A N   M E L E W A R   2,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-26,",SIAP DENGAN: CCC PENUH,439-26/07-2017/0672(P),30-Jul-15,29-Jul-17,"RM386,100.00",87mps,,,,,,,,,,,,"[""3.811145, 101.933859""]",,https://teduh.kpkt.gov.my/project-swasta/439-26,14,9
242,4 3 9 - 3 - T A M A N   E A S T   C O A S T   J A Y A,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-3,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-3,14,10
243,4 3 9 - 4 - L O T   4 5 5 0,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-4,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-4,14,11
244,4 3 9 - 5 - T A M A N   A I R   P U T E H,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-5,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-5,14,12
245,4 3 9 - 6 - T A M A N   P E N I N S U L A R   J A Y A   F A S A   2,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-6,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-6,14,13
246,4 3 9 - 7 - T A M A N   U N I O N   J A Y A,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-7,",-,439/436/1993(04),22-Apr-92,21-Apr-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-7,14,14
247,4 3 9 - 8 - T A M A N   P E N I N S U L A R   J A Y A   F A S A   3,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-8,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-8,14,15
248,4 3 9 - 9 - T A M A N   M E W A H,SHARIKAT PERUMAHAN PACIFIC SDN. BHD.,439,439/09-2025/1097(R),1-Oct-21,30-Sep-25,-,-,-,"439-9,",-,439/847/1994(08),11-Aug-93,11-Aug-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/439-9,14,16
249,5 0 6 - 1 - T A M A N   M A K M U R,SIN SOON LEE REALTY COMPANY (M) SENDIRIAN BERHAD,506,506/01-2026/0042(R),5-Jan-23,4-Jan-26,-,sinsoonlee.realtyco@gmail.com,-,"506-1,",-,506/1402/1993(11),24-Nov-92,23-Nov-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/506-1,14,17
250,5 0 6 - 2 - T A M A N   M E W A H,SIN SOON LEE REALTY COMPANY (M) SENDIRIAN BERHAD,506,506/01-2026/0042(R),5-Jan-23,4-Jan-26,-,sinsoonlee.realtyco@gmail.com,-,"506-2,",-,506/243/1993(03),2-Mar-92,1-Mar-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/506-2,14,18
251,5 0 6 - 3 - T A M A N   M E G A H,SIN SOON LEE REALTY COMPANY (M) SENDIRIAN BERHAD,506,506/01-2026/0042(R),5-Jan-23,4-Jan-26,-,sinsoonlee.realtyco@gmail.com,-,"506-3,",-,506/1597/1997(12),20-Dec-96,19-Dec-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/506-3,14,19
252,5 0 6 - 4 - W I S M A   S H U N   L I,SIN SOON LEE REALTY COMPANY (M) SENDIRIAN BERHAD,506,506/01-2026/0042(R),5-Jan-23,4-Jan-26,-,sinsoonlee.realtyco@gmail.com,-,"506-4,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/506-4,15,2
253,5 0 6 - 5 - T A M A N   M U T I A R A,SIN SOON LEE REALTY COMPANY (M) SENDIRIAN BERHAD,506,506/01-2026/0042(R),5-Jan-23,4-Jan-26,-,sinsoonlee.realtyco@gmail.com,-,"506-5,",-,506/36/2000(01),19-Jan-99,18-Jan-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/506-5,15,3
254,5 0 6 - 6 - T A M A N   M E G A H   3,SIN SOON LEE REALTY COMPANY (M) SENDIRIAN BERHAD,506,506/01-2026/0042(R),5-Jan-23,4-Jan-26,-,sinsoonlee.realtyco@gmail.com,-,"506-6,",BERJALAN LANCAR,506-6/02-2020/01190(P),20-Feb-19,19-Feb-20,"RM25,000.00",0mps - 453mps,,,,,,,,,,,,"[""1.866429, 102.983611""]",,https://teduh.kpkt.gov.my/project-swasta/506-6,15,4
255,5 0 6 - 7 - T A M A N   S I N A R   I M P I A N,SIN SOON LEE REALTY COMPANY (M) SENDIRIAN BERHAD,506,506/01-2026/0042(R),5-Jan-23,4-Jan-26,-,sinsoonlee.realtyco@gmail.com,-,"506-7,",SIAP DENGAN: CCC PENUH,506-7/10-2020/03091(P),17-Oct-19,16-Oct-20,"RM42,000.00",68mps - 140mps,,,,,,,,,,,,"[""2.032483, 103.057759""]",,https://teduh.kpkt.gov.my/project-swasta/506-7,15,5
256,5 1 - 1 - T A M A N   S R I   H A L B A N,THE UNITED ENTERPRISE (KEDAH) SDN. BERHAD,51,51/09-2023/0877(R),5-Sep-06,4-Sep-23,47321217,unitedentk@gmail.com,-,"51-1,",SIAP DENGAN: CFO PENUH,51/1114/1999(08),12-Aug-98,11-Aug-99,"RM83,500.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/51-1,15,6
257,5 1 - 2 - T A M A N   C E N G A L   ( F A S A   2 ),THE UNITED ENTERPRISE (KEDAH) SDN. BERHAD,51,51/09-2023/0877(R),5-Sep-06,4-Sep-23,47321217,unitedentk@gmail.com,-,"51-2,",-,51/1006/2000(07),28-Jul-99,27-Jul-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/51-2,15,7
258,5 1 - 3 - T A M A N   I N D E R A,THE UNITED ENTERPRISE (KEDAH) SDN. BERHAD,51,51/09-2023/0877(R),5-Sep-06,4-Sep-23,47321217,unitedentk@gmail.com,-,"51-3,",-,51-3/1628/2004(07),30-Jul-03,29-Jul-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/51-3,15,8
259,5 1 - 4 - T A M A N   I N D E R A,THE UNITED ENTERPRISE (KEDAH) SDN. BERHAD,51,51/09-2023/0877(R),5-Sep-06,4-Sep-23,47321217,unitedentk@gmail.com,-,"51-4,",-,51-4/2202/2004(10),7-Oct-03,6-Oct-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/51-4,15,9
260,"5 3 3 - 1 - S U B B   L O T   3 8 0 - 4 3 7 - L 0 T   3 0 ,   B A N D A R   C H E R A S",HENG KEE COMPANY SENDIRIAN BERHAD,533,533/08-2028/0028(R),8-Aug-21,7-Aug-28,-,-,-,"533-1,",-,533/903/1997(08),2-Aug-96,1-Aug-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/533-1,15,10
261,5 3 3 - 2 - L O T   2 4 9,HENG KEE COMPANY SENDIRIAN BERHAD,533,533/08-2028/0028(R),8-Aug-21,7-Aug-28,-,-,-,"533-2,",-,533-2/709/2004(11),10-Apr-04,11-Nov-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/533-2,15,11
262,5 3 3 - 3 - T A M A N   K E K W A - P H A S E   I I,HENG KEE COMPANY SENDIRIAN BERHAD,533,533/08-2028/0028(R),8-Aug-21,7-Aug-28,-,-,-,"533-3,",SIAP DENGAN: CFO PENUH,533-3/231/2013(02),18-Feb-12,17-Feb-13,"RM45,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/533-3,15,12
263,5 3 3 - 4 - T A M A N   K E K W A,HENG KEE COMPANY SENDIRIAN BERHAD,533,533/08-2028/0028(R),8-Aug-21,7-Aug-28,-,-,-,"533-4,",SIAP DENGAN: CCC PENUH,533-4/07-2019/02423(P),25-Jul-18,24-Jul-19,"RM318,000.00",120mps - 157mps,,,,,,,,,,,,"[""2.717195, 101.963814""]",,https://teduh.kpkt.gov.my/project-swasta/533-4,15,13
264,5 9 7 - 1 - T A M A N   M E L A W A T I,SIME DARBY PROPERTY (KL EAST) SDN. BHD.,597,597/10-2026/0108(A),14-Oct-21,13-Oct-26,378495299,nur.nasihan.razak@simedarbyproperty.com,-,"597-1,",-,597/166/1996(06),24-Jun-95,23-Jun-96,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/597-1,15,14
